"","Zi","Yi","Di"
"355",27,9,1
"356",26,22,1
"357",26,17,1
"358",28,24,1
"359",28,23,1
"360",24,23,1
"361",27,23,1
"362",28,23,1
"363",24,24,1
"364",27,23,1
"365",28,23,1
"366",26,23,1
"367",27,23,1
"368",26,23,1
"369",28,22,1
"370",28,22,1
"371",27,15,1
"372",27,16,1
"373",28,16,1
"374",27,13,1
"375",26,12,1
"376",20,12,1
"377",26,10,1
"378",24,8,1
"379",27,6,1
"380",24,5,1
"381",28,24,1
"382",28,24,1
"383",25,24,1
"384",28,24,1
"385",24,23,1
"386",28,23,1
"387",28,23,1
"388",27,23,1
"389",27,23,1
"390",24,22,1
"391",28,22,1
"392",24,22,1
"393",28,21,1
"394",26,21,1
"395",28,22,1
"396",28,20,1
"397",25,20,1
"398",25,16,1
"399",28,15,1
"400",22,15,1
"401",28,13,1
"402",25,12,1
"403",27,9,1
"404",19,7,1
"405",16,8,1
"406",23,23,1
"407",27,23,1
"408",23,23,1
"409",25,23,1
"410",27,24,1
"411",24,24,1
"412",28,24,1
"413",28,24,1
"414",28,23,1
"415",28,24,1
"416",27,24,1
"417",25,24,1
"418",28,24,1
"419",28,23,1
"420",28,22,1
"421",27,22,1
"422",25,22,1
"423",22,22,1
"424",28,22,1
"425",28,23,1
"426",26,22,1
"427",28,24,1
"428",23,22,1
"429",26,21,1
"430",25,20,1
"431",25,19,1
"432",28,21,1
"433",27,19,1
"434",28,21,1
"435",28,17,1
"436",24,22,1
"437",28,22,1
"438",26,16,1
"439",23,17,1
