"","Zi","Yi","Di"
"1",37,29,1
"2",30,29,1
"3",37,30,1
"4",32,32,1
"5",37,32,1
"6",36,33,1
"7",36,33,1
"8",35,31,1
"9",36,33,1
"10",36,30,1
"11",35,31,1
"12",37,30,1
"13",37,30,1
"14",37,30,1
"15",37,30,1
"16",33,31,1
"17",36,31,1
"18",35,31,1
"19",37,30,1
"20",35,30,1
"21",37,30,1
"22",37,31,1
"23",36,33,1
"24",37,29,1
"25",35,32,1
"26",32,32,1
"27",30,30,1
"28",34,33,1
"29",36,32,1
"30",37,32,1
"31",37,32,1
"32",33,32,1
"33",36,32,1
"34",35,31,1
"35",35,31,1
"36",37,32,1
"37",31,31,1
"38",37,33,1
"39",36,12,1
"40",37,12,1
"41",37,12,1
"42",36,12,1
"43",33,12,1
"44",37,13,1
"45",37,12,1
"46",37,12,1
"47",33,12,1
"48",36,12,1
"49",37,12,1
"50",33,12,1
"51",36,12,1
"52",32,12,1
"53",36,12,1
"54",35,12,1
"57",13,9,1
"60",32,8,1
"66",22,7,1
"68",36,9,1
"69",34,9,1
"72",16,9,1
"75",33,8,1
"78",27,7,1
"82",35,8,1
"85",27,7,1
"88",26,8,1
"91",35,9,1
"92",35,8,1
"94",32,9,1
"97",36,10,1
"98",36,9,1
"99",35,9,1
"101",35,8,1
"102",33,9,1
"105",34,7,1
"113",30,7,1
"115",28,7,1
"116",32,6,1
"120",32,6,1
"122",31,8,1
"130",22,6,1
"137",22,6,1
"150",33,6,1
"153",26,7,1
"154",14,7,1
"159",26,6,1
"160",31,6,1
"162",34,9,1
"163",33,6,1
"164",24,7,1
"167",31,5,1
"169",33,7,1
"176",29,7,1
"177",35,8,1
"180",34,7,1
"183",31,6,1
"189",31,6,1
"191",31,7,1
"192",31,7,1
"198",34,8,1
"200",30,7,1
"202",32,7,1
"208",23,6,1
"212",32,5,1
"215",29,5,1
"216",31,6,1
"219",21,4,1
"220",24,4,1
"223",22,8,1
"224",29,7,1
"225",34,7,1
"226",23,5,1
"229",35,8,1
"234",15,5,1
"239",33,6,1
"241",32,5,1
"246",31,4,1
"247",35,8,1
"251",33,7,1
"254",31,5,1
"257",24,6,1
"260",31,8,1
"262",32,6,1
"265",32,5,1
"274",35,8,1
"281",30,6,1
"288",29,8,1
"290",21,6,1
"293",15,6,1
"298",36,9,1
"303",24,4,1
"325",25,5,1
"332",28,8,1
"344",31,4,1
"349",31,4,1
"353",33,8,1
"358",30,5,1
"364",33,7,1
"369",18,6,1
"371",35,8,1
"374",33,7,1
"375",19,7,1
"383",31,7,1
"384",11,5,1
"392",19,5,1
"396",26,6,1
"397",36,9,1
"398",33,9,1
"400",27,5,1
"403",29,5,1
"404",31,8,1
"411",31,7,1
"421",34,7,1
"426",32,6,1
"427",31,7,1
"429",32,6,1
"430",17,7,1
"432",33,7,1
"436",34,7,1
"440",32,6,1
"445",30,6,1
"446",31,6,1
"448",28,4,1
"452",32,6,1
"453",30,7,1
"459",32,6,1
"463",33,6,1
"480",33,7,1
"482",29,7,1
"484",31,7,1
"490",34,7,1
"492",29,6,1
"504",34,8,1
"505",31,5,1
"507",34,7,1
"519",8,4,1
"524",30,4,1
"525",29,5,1
"531",28,6,1
"533",31,5,1
"538",32,6,1
"540",29,6,1
"543",32,5,1
"544",23,5,1
"547",23,6,1
"552",29,4,1
"558",29,6,1
"562",23,5,1
"568",27,4,1
"569",12,5,1
"572",14,4,1
"577",31,6,1
"581",31,5,1
"589",27,5,1
"605",31,6,1
"607",9,5,1
"609",18,6,1
"610",11,6,1
"613",30,5,1
"615",35,9,1
"617",32,7,1
"618",35,9,1
"619",36,9,1
"621",29,8,1
"623",33,8,1
"631",31,8,1
"632",35,9,1
"642",37,11,1
"643",37,10,1
"644",37,11,1
"645",33,10,1
"647",37,10,1
"649",35,8,1
"653",31,4,1
"659",35,10,1
"660",24,5,1
"673",27,4,1
"674",10,4,1
"677",30,10,1
"680",11,4,1
"686",27,5,1
"695",32,5,1
"699",29,4,1
"712",31,5,1
"715",32,5,1
"720",37,27,1
"721",37,32,1
"722",34,28,1
"723",37,30,1
"724",36,32,1
"725",32,30,1
"726",35,29,1
"727",37,28,1
"728",35,29,1
"729",37,27,1
"730",37,28,1
"731",31,28,1
"732",30,30,1
"733",37,28,1
"734",35,31,1
"735",36,28,1
"736",34,32,1
"737",33,27,1
"738",37,30,1
"739",33,32,1
"740",31,30,1
"741",33,30,1
"742",31,30,1
"743",37,32,1
"744",33,32,1
"745",35,28,1
"746",35,31,1
"747",37,31,1
"748",37,27,1
"749",34,27,1
"750",36,29,1
"751",36,32,1
"752",36,31,1
"753",34,28,1
"754",37,32,1
"755",35,29,1
"756",37,28,1
"757",37,32,1
"758",32,28,1
"759",37,32,1
"760",31,28,1
"761",37,27,1
"762",32,31,1
"763",29,28,1
"764",37,27,1
"765",29,27,1
"766",37,32,1
"767",36,31,1
"768",32,32,1
"769",36,27,1
"770",37,29,1
"771",37,29,1
"772",35,31,1
"773",37,31,1
"774",37,32,1
"775",37,29,1
"776",37,29,1
"777",29,28,1
"778",36,33,1
"779",37,29,1
"780",36,32,1
"781",37,28,1
"782",36,31,1
"783",37,32,1
"784",36,28,1
"785",29,28,1
"786",37,29,1
"787",37,32,1
"788",36,31,1
"789",33,29,1
"790",36,32,1
"791",36,27,1
"792",35,28,1
"793",30,27,1
"794",37,28,1
"795",37,28,1
"796",36,29,1
"797",35,27,1
"798",32,32,1
"799",33,29,1
"800",34,30,1
"801",36,32,1
"802",37,27,1
"803",36,27,1
"804",37,27,1
"805",36,32,1
"806",34,32,1
"807",35,27,1
"808",37,29,1
"809",33,29,1
"810",37,33,1
"811",37,33,1
"812",32,32,1
"813",37,32,1
"814",35,28,1
"815",34,33,1
"816",36,30,1
"817",37,30,1
"818",37,30,1
"819",37,30,1
"820",36,30,1
"821",36,30,1
"822",37,31,1
"823",33,30,1
"824",36,29,1
"825",30,30,1
"826",35,33,1
"827",36,32,1
"828",37,31,1
"829",37,32,1
"830",37,30,1
"831",35,32,1
"832",31,31,1
"833",37,29,1
"834",36,33,1
"835",33,29,1
"836",37,32,1
"837",35,33,1
"838",37,29,1
"839",36,34,1
"840",37,31,1
"841",37,28,1
"842",34,30,1
"843",37,28,1
"844",32,32,1
"845",34,29,1
"846",36,30,1
"847",37,28,1
"848",37,31,1
"849",37,33,1
"850",37,30,1
"851",34,29,1
"852",36,28,1
"853",36,30,1
"854",35,30,1
"855",37,28,1
"856",34,33,1
"857",37,28,1
"858",35,30,1
"859",37,28,1
"860",37,29,1
"861",37,30,1
"862",34,29,1
"863",34,33,1
"864",35,30,1
"865",36,29,1
"866",37,28,1
"867",37,30,1
"868",35,30,1
"869",35,28,1
"870",37,30,1
"871",37,28,1
"872",33,33,1
"873",37,32,1
"874",32,32,1
