"","Zi","Yi","Di"
"1",23,6,1
"2",24,6,1
"3",24,8,1
"4",23,6,1
"5",24,6,1
"6",19,4,1
"7",25,8,1
"8",25,4,1
"9",22,6,1
"10",23,8,1
"11",25,4,1
"12",18,4,1
"13",24,5,1
"14",25,20,1
"15",24,20,1
"16",23,21,1
"17",25,21,1
"18",25,20,1
"19",24,19,1
"20",22,20,1
"21",25,19,1
"22",20,19,1
"23",25,18,1
"24",25,19,1
"25",25,18,1
"26",23,19,1
"27",25,18,1
"28",25,18,1
"29",22,19,1
"30",24,19,1
"31",19,17,1
"32",25,16,1
"33",21,16,1
"34",23,21,1
"35",25,21,1
"36",23,17,1
"37",24,17,1
"38",24,17,1
"39",20,16,1
"40",23,16,1
"41",22,17,1
"42",25,16,1
"43",18,16,1
"44",23,15,1
"45",22,13,1
"46",24,14,1
"47",22,14,1
"48",25,15,1
"49",24,13,1
"50",19,15,1
"51",25,12,1
"52",24,11,1
"53",23,11,1
"54",25,9,1
"55",25,9,1
"56",22,8,1
"57",23,9,1
"58",21,10,1
"59",22,6,1
"60",24,4,1
"61",25,4,1
"62",15,5,1
"63",25,4,1
"64",23,5,1
"65",25,4,1
"66",25,4,1
"67",18,6,1
"68",24,4,1
"69",24,8,1
"70",18,12,1
"71",25,7,1
"72",25,21,1
"73",25,20,1
"74",25,21,1
"75",25,19,1
"76",25,21,1
"77",25,21,1
"78",24,19,1
"79",25,19,1
"80",24,19,1
"81",24,19,1
"82",23,19,1
"83",23,19,1
"84",19,17,1
"85",25,18,1
"86",25,18,1
"87",24,18,1
"88",24,18,1
"89",23,17,1
"90",25,17,1
"91",25,15,1
"92",20,16,1
"93",18,18,1
"94",25,16,1
"95",25,15,1
"96",25,15,1
"97",24,15,1
"98",20,16,1
"99",16,14,1
"100",23,14,1
"101",23,14,1
"102",22,14,1
"103",23,13,1
"104",16,12,1
"105",22,15,1
"106",25,13,1
"107",25,15,1
"108",20,16,1
"109",23,15,1
"110",23,10,1
"111",23,11,1
"112",23,11,1
"113",25,7,1
"114",24,7,1
"115",21,8,1
"116",19,9,1
"117",25,5,1
"118",25,4,1
"119",24,8,1
"120",24,7,1
"121",24,4,1
"122",25,6,1
"123",24,6,1
"124",25,20,1
"125",20,20,1
"126",25,19,1
"127",25,20,1
"128",23,20,1
"129",24,21,1
"130",25,20,1
"131",24,20,1
"132",25,20,1
"133",23,17,1
"134",24,18,1
"135",25,19,1
"136",19,19,1
"137",25,19,1
"138",24,20,1
"139",25,20,1
"140",25,12,1
"141",25,13,1
"142",25,17,1
"143",24,17,1
"144",25,17,1
"145",25,18,1
"146",23,18,1
"147",25,16,1
"148",24,18,1
"149",23,16,1
"150",25,16,1
"151",22,16,1
"152",24,16,1
"153",25,15,1
"154",23,15,1
"155",25,15,1
"156",25,14,1
"157",20,14,1
"158",24,15,1
"159",24,17,1
"160",25,15,1
"161",25,12,1
"162",21,10,1
"163",24,9,1
"164",23,6,1
"165",21,8,1
"166",24,6,1
"167",24,5,1
"168",23,7,1
"169",16,7,1
"170",25,4,1
"171",24,10,1
"172",25,4,1
"173",24,20,1
"174",21,19,1
"175",25,19,1
"176",25,19,1
"177",24,19,1
"178",24,19,1
"179",24,19,1
"180",25,20,1
"181",24,20,1
"182",22,21,1
"183",22,20,1
"184",23,21,1
"185",23,18,1
"186",19,17,1
"187",25,18,1
"188",23,18,1
"189",25,16,1
"190",25,16,1
"191",25,17,1
"192",25,17,1
"193",23,16,1
"194",25,17,1
"195",21,17,1
"196",23,18,1
"197",23,17,1
"198",17,16,1
"199",18,16,1
"200",24,15,1
"201",21,14,1
"202",24,16,1
"203",24,12,1
"204",25,13,1
"205",25,13,1
"206",24,15,1
"207",25,12,1
"208",21,13,1
"209",13,12,1
"210",20,16,1
"211",24,16,1
"212",24,9,1
"213",19,6,1
"214",25,7,1
"215",24,6,1
"216",19,7,1
"217",24,5,1
"218",25,6,1
"219",23,4,1
"220",25,16,1
"221",16,12,1
"222",21,20,1
"223",24,20,1
"224",25,21,1
"225",25,20,1
"226",23,21,1
"227",25,19,1
"228",24,18,1
"229",25,19,1
"230",20,19,1
"231",25,19,1
"232",19,19,1
"233",23,19,1
"234",25,19,1
"235",25,18,1
"236",22,19,1
"237",19,17,1
"238",25,22,1
"239",25,16,1
"240",24,16,1
"241",25,16,1
"242",25,15,1
"243",25,15,1
"244",22,16,1
"245",25,16,1
"246",24,15,1
"247",24,18,1
"248",25,15,1
"249",24,15,1
"250",23,15,1
"251",25,16,1
"252",25,15,1
"253",21,14,1
"254",23,13,1
"255",24,13,1
"256",23,10,1
"257",23,10,1
"258",25,7,1
"259",22,6,1
"260",24,7,1
"261",25,6,1
"262",20,5,1
"263",23,4,1
"264",24,6,1
"265",20,4,1
"266",24,4,1
"267",25,4,1
"268",25,5,1
"269",25,7,1
"270",25,12,1
"271",22,13,1
"272",25,13,1
"273",22,20,1
"274",25,19,1
"275",25,20,1
"276",25,20,1
"277",24,20,1
"278",25,20,1
"279",24,21,1
"280",25,20,1
"281",23,20,1
"282",25,21,1
"283",23,19,1
"284",25,19,1
"285",23,19,1
"286",25,19,1
"287",25,13,1
"288",21,12,1
"289",23,14,1
"290",25,13,1
"291",21,14,1
"292",24,14,1
"293",25,18,1
"294",25,19,1
"295",22,17,1
"296",25,21,1
"297",24,16,1
"298",21,16,1
"299",16,16,1
"300",20,16,1
"301",25,16,1
"302",18,16,1
"303",25,13,1
"304",22,10,1
"305",22,10,1
"306",20,10,1
"307",24,9,1
"308",22,10,1
"309",25,8,1
"310",20,6,1
"311",24,7,1
"312",25,6,1
"313",25,7,1
"314",22,4,1
"315",15,4,1
"316",25,4,1
"317",23,18,1
"318",23,19,1
"319",25,20,1
"320",22,20,1
"321",25,21,1
"322",23,19,1
"323",25,20,1
"324",21,20,1
"325",20,18,1
"326",24,18,1
"327",23,18,1
"328",19,18,1
"329",25,17,1
"330",21,17,1
"331",20,19,1
"332",22,18,1
"333",21,16,1
"334",24,16,1
"335",25,16,1
"336",25,16,1
"337",21,16,1
"338",24,15,1
"339",21,15,1
"340",23,14,1
"341",24,14,1
"342",25,15,1
"343",25,15,1
"344",25,16,1
"345",20,13,1
"346",25,16,1
"347",24,5,1
"348",15,10,1
"349",24,10,1
"350",23,10,1
"351",23,10,1
"352",24,10,1
"353",25,10,1
"354",25,9,1
"355",21,9,1
"356",25,7,1
"357",25,7,1
"358",25,6,1
"359",25,5,1
"360",24,5,1
"361",25,4,1
"362",21,5,1
"363",19,6,1
"364",24,5,1
"365",24,4,1
"366",22,4,1
"367",25,5,1
"368",23,21,1
"369",25,21,1
"370",25,21,1
"371",24,21,1
"372",25,19,1
"373",23,19,1
"374",24,19,1
"375",25,20,1
"376",22,18,1
"377",25,18,1
"378",25,18,1
"379",25,17,1
"380",25,17,1
"381",19,15,1
"382",25,15,1
"383",25,16,1
"384",25,16,1
"385",24,15,1
"386",24,15,1
"387",23,15,1
"388",23,14,1
"389",20,14,1
"390",24,17,1
"391",23,13,1
"392",18,14,1
"393",20,12,1
"394",24,13,1
"395",25,11,1
"396",19,12,1
"397",25,10,1
"398",24,7,1
"399",24,8,1
"400",25,8,1
"401",25,6,1
"402",24,6,1
"403",25,6,1
"404",25,8,1
"405",25,5,1
"406",21,6,1
"407",25,5,1
"408",24,4,1
"409",25,6,1
"410",20,4,1
"411",25,5,1
"412",17,10,1
"413",25,10,1
"414",24,5,1
"415",18,6,1
"416",21,10,1
"417",25,12,1
"418",23,13,1
"419",25,13,1
"420",25,14,1
"421",23,17,1
"422",24,14,1
"423",18,14,1
"424",23,19,1
"425",20,19,1
"426",25,20,1
"427",24,18,1
"428",25,18,1
"429",24,19,1
"430",25,17,1
"431",23,16,1
"432",20,19,1
"433",25,20,1
"434",25,21,1
"435",21,8,1
"436",24,21,1
"437",24,21,1
"438",25,21,1
"439",25,20,1
"440",25,19,1
"441",19,19,1
"442",25,18,1
"443",25,18,1
"444",25,19,1
"445",24,18,1
"446",25,18,1
"447",24,17,1
"448",23,17,1
"449",23,17,1
"450",21,17,1
"451",19,19,1
"452",25,19,1
"453",23,17,1
"454",25,19,1
"455",24,17,1
"456",24,17,1
"457",20,16,1
"458",25,16,1
"459",25,16,1
"460",21,16,1
"461",25,16,1
"462",25,14,1
"463",25,16,1
"464",25,13,1
"465",16,13,1
"466",22,13,1
"467",24,13,1
"468",23,12,1
"469",25,12,1
"470",23,14,1
"471",25,10,1
"472",24,9,1
"473",18,8,1
"474",10,5,1
"475",23,7,1
"476",24,4,1
"477",25,4,1
"478",24,5,1
"479",25,6,1
"480",25,6,1
"481",25,4,1
"482",25,5,1
"483",23,4,1
"484",19,7,1
"485",24,5,1
"486",25,7,1
"487",13,4,1
"488",23,7,1
"489",23,11,1
"490",25,15,1
"491",25,15,1
"492",25,14,1
"493",23,14,1
"494",25,14,1
"495",24,15,1
"496",22,15,1
"497",25,13,1
"498",24,17,1
"499",25,15,1
"500",22,20,1
"501",21,18,1
"502",22,6,1
"503",24,21,1
"504",25,20,1
"505",24,20,1
"506",23,21,1
"507",25,21,1
"508",23,18,1
"509",23,18,1
"510",20,19,1
"511",24,19,1
"512",25,19,1
"513",25,19,1
"514",24,17,1
"515",22,18,1
"516",25,19,1
"517",25,18,1
"518",22,18,1
"519",25,17,1
"520",25,17,1
"521",18,17,1
"522",25,18,1
"523",23,18,1
"524",24,18,1
"525",24,18,1
"526",21,20,1
"527",23,17,1
"528",22,17,1
"529",18,17,1
"530",24,16,1
"531",23,16,1
"532",25,16,1
"533",23,16,1
"534",25,16,1
"535",25,15,1
"536",24,16,1
"537",15,15,1
"538",24,13,1
"539",21,17,1
"540",24,15,1
"541",23,15,1
"542",23,14,1
"543",20,12,1
"544",24,13,1
"545",25,13,1
"546",24,14,1
"547",23,12,1
"548",25,10,1
"549",24,10,1
"550",23,8,1
"551",21,8,1
"552",24,7,1
"553",25,6,1
"554",22,4,1
"555",23,5,1
"556",25,5,1
"557",25,4,1
"558",20,4,1
"559",20,6,1
"560",23,6,1
"561",22,8,1
"562",21,21,1
"563",22,21,1
"564",22,20,1
"565",25,21,1
"566",24,20,1
"567",25,21,1
"568",24,20,1
"569",22,20,1
"570",25,20,1
"571",23,20,1
"572",22,18,1
"573",19,18,1
"574",24,18,1
"575",25,18,1
"576",25,19,1
"577",24,18,1
"578",24,18,1
"579",25,19,1
"580",25,19,1
"581",25,19,1
"582",25,17,1
"583",23,17,1
"584",25,19,1
"585",25,19,1
