"","Zi","Yi","Di"
"1",41,35,1
"2",42,33,1
"3",38,38,1
"4",43,37,1
"5",41,38,1
"13",14,4,1
"14",42,35,1
"15",36,33,1
"16",42,31,1
"17",42,32,1
"18",42,38,1
"19",39,36,1
"20",34,31,1
"21",25,22,1
"22",43,23,1
"23",32,19,1
"24",43,16,1
"25",42,15,1
"26",39,15,1
"28",41,15,1
"32",31,15,1
"34",22,11,1
"39",28,5,1
"42",32,7,1
"45",13,6,1
"51",37,35,1
"54",27,10,1
"56",43,30,1
"57",42,30,1
"58",42,33,1
"59",36,27,1
"60",43,23,1
"61",42,26,1
"62",43,21,1
"63",41,19,1
"64",38,20,1
"65",25,19,1
"66",43,17,1
"67",38,14,1
"68",41,14,1
"75",42,38,1
"76",43,33,1
"91",7,6,1
"92",39,35,1
"93",41,36,1
"94",39,34,1
"95",43,35,1
"96",40,30,1
"97",25,19,1
"98",43,18,1
"99",42,19,1
"102",40,17,1
"103",41,16,1
"104",40,17,1
"105",39,15,1
"112",29,10,1
"114",26,9,1
"128",42,37,1
"129",43,35,1
"130",42,36,1
"131",40,37,1
"132",32,29,1
"133",41,24,1
"134",40,24,1
"135",38,37,1
"136",24,23,1
"137",35,21,1
"138",35,16,1
"139",43,17,1
"140",29,15,1
"145",36,10,1
"152",28,5,1
"154",20,4,1
"159",12,7,1
"162",13,4,1
"163",41,39,1
"167",34,30,1
"168",39,34,1
"169",39,34,1
"170",35,33,1
"171",42,34,1
"172",42,35,1
"173",43,36,1
"174",42,31,1
"175",37,15,1
"176",37,13,1
"177",40,16,1
"182",38,11,1
"206",30,12,1
"207",6,4,1
"209",43,35,1
"210",34,34,1
"212",42,35,1
"213",42,33,1
"214",43,24,1
"215",42,22,1
"216",32,21,1
"217",43,20,1
"218",38,17,1
"219",38,11,1
"221",14,13,1
"225",29,10,1
"226",34,10,1
"240",26,7,1
"245",8,5,1
"250",41,37,1
"251",43,36,1
"252",43,30,1
"253",40,33,1
"254",43,39,1
"255",41,35,1
"256",43,35,1
"257",43,39,1
"258",43,39,1
"259",43,38,1
"260",40,36,1
"261",38,26,1
"262",30,24,1
"263",22,18,1
"264",42,19,1
"265",43,17,1
"266",43,17,1
"267",36,16,1
"268",40,17,1
"271",12,5,1
"272",12,12,1
"279",13,8,1
"282",17,8,1
"284",32,5,1
"285",30,7,1
"289",40,38,1
"291",39,29,1
"292",42,33,1
"293",43,33,1
"294",43,32,1
"295",38,34,1
"296",42,36,1
"297",42,24,1
"298",41,14,1
"301",23,11,1
"303",29,9,1
"308",32,7,1
"309",22,8,1
"317",40,33,1
"319",17,15,1
"320",38,19,1
"321",42,19,1
"322",41,32,1
"324",27,27,1
"325",43,37,1
"326",40,38,1
"327",43,20,1
"328",34,20,1
"329",43,16,1
"330",41,16,1
"332",39,13,1
"336",35,12,1
"339",29,11,1
"341",29,9,1
"342",35,9,1
"343",22,6,1
"348",30,4,1
"352",36,35,1
"353",38,34,1
"354",43,38,1
"355",43,35,1
"356",38,32,1
"357",43,31,1
"358",43,35,1
"359",41,30,1
"361",19,5,1
"364",42,15,1
"365",43,34,1
"367",35,33,1
"368",42,34,1
"369",37,17,1
"370",43,16,1
"371",41,14,1
"373",35,14,1
"375",34,13,1
"376",17,12,1
"378",31,11,1
"379",15,12,1
"397",37,33,1
"398",41,33,1
"399",41,35,1
"400",41,29,1
"401",37,33,1
"402",42,37,1
"403",38,37,1
"404",31,21,1
"405",41,17,1
"406",43,18,1
"407",31,15,1
"408",41,15,1
"409",41,15,1
"410",18,14,1
"416",26,10,1
"420",29,28,1
"421",43,34,1
"422",37,33,1
"423",43,36,1
"424",42,36,1
"427",33,6,1
"438",43,29,1
"439",42,30,1
"440",41,29,1
"441",42,21,1
"442",41,24,1
"443",39,37,1
"444",38,20,1
"445",41,17,1
"446",26,17,1
"447",37,17,1
"448",41,16,1
"449",42,17,1
"450",40,17,1
"455",39,14,1
"457",35,11,1
"461",36,9,1
"467",29,6,1
"470",33,6,1
"480",37,37,1
"483",36,9,1
"484",43,32,1
"485",37,33,1
"486",39,32,1
"487",37,31,1
"488",42,30,1
"489",42,27,1
"490",41,36,1
"491",42,21,1
"492",39,25,1
"493",43,21,1
"494",41,17,1
"495",42,19,1
"496",43,16,1
"497",40,16,1
"498",24,16,1
"499",40,16,1
"504",34,10,1
"505",14,9,1
"506",29,8,1
"507",26,8,1
"514",28,4,1
"518",12,4,1
"523",38,36,1
"524",42,36,1
"525",40,38,1
"526",43,37,1
"528",43,38,1
"529",38,38,1
"530",42,36,1
"531",38,35,1
"532",43,34,1
"533",38,31,1
"534",40,34,1
"535",39,37,1
"536",39,26,1
"537",38,26,1
"538",42,19,1
"539",38,22,1
"540",41,15,1
"541",32,12,1
"542",37,12,1
"543",36,13,1
"544",22,10,1
"558",34,34,1
"561",43,34,1
"562",43,25,1
"563",38,26,1
"564",43,19,1
"565",42,19,1
"566",33,20,1
"567",43,22,1
"568",39,17,1
"569",41,14,1
"570",40,13,1
"571",17,13,1
"572",38,12,1
"573",34,12,1
"576",23,6,1
"579",35,8,1
"581",30,9,1
