"","Zi","Yi","Di"
"1",39,36,1
"2",38,30,1
"3",40,30,1
"4",36,32,1
"5",36,32,1
"7",33,7,1
"12",38,11,1
"19",36,11,1
"27",40,28,1
"28",40,31,1
"29",40,32,1
"30",36,35,1
"31",37,35,1
"32",40,34,1
"33",39,35,1
"34",38,29,1
"35",40,35,1
"36",35,35,1
"37",40,34,1
"38",34,33,1
"39",39,36,1
"40",39,30,1
"41",34,34,1
"42",37,35,1
"43",38,34,1
"44",40,34,1
"45",40,33,1
"46",35,29,1
"47",36,34,1
"48",39,33,1
"49",40,22,1
"50",38,24,1
"51",34,20,1
"52",38,23,1
"53",27,17,1
"54",33,17,1
"55",39,15,1
"56",38,14,1
"57",28,15,1
"58",29,15,1
"59",35,13,1
"60",39,12,1
"67",35,11,1
"68",32,11,1
"70",33,11,1
"75",38,11,1
"76",36,11,1
"78",38,11,1
"80",30,11,1
"81",31,11,1
"82",28,11,1
"83",36,11,1
"84",31,11,1
"89",37,11,1
"92",38,11,1
"94",35,10,1
"96",35,10,1
"97",33,11,1
"98",34,11,1
"100",35,11,1
"102",30,11,1
"103",18,12,1
"105",8,8,1
"108",37,10,1
"112",28,7,1
"114",29,11,1
"116",26,8,1
"118",30,4,1
"122",36,10,1
"124",38,11,1
"126",37,11,1
"127",35,35,1
"129",39,33,1
"130",38,34,1
"131",40,35,1
"132",36,33,1
"133",33,33,1
"134",40,35,1
"135",40,32,1
"136",40,32,1
"137",38,35,1
"142",39,32,1
"143",40,33,1
"144",39,36,1
"145",38,34,1
"146",40,35,1
"147",40,35,1
"148",37,28,1
"149",40,29,1
"150",40,30,1
"151",33,31,1
"152",36,30,1
"153",39,30,1
"154",40,29,1
"155",40,32,1
"156",36,31,1
"157",36,22,1
"158",35,20,1
"159",39,16,1
"161",37,11,1
"162",36,11,1
"165",35,11,1
"166",38,11,1
"167",29,13,1
"170",33,10,1
"171",17,11,1
"172",37,11,1
"176",33,11,1
"179",34,11,1
"181",31,11,1
"182",34,11,1
"183",39,11,1
"184",35,11,1
"186",35,11,1
"187",33,11,1
"188",36,10,1
"191",22,10,1
"192",31,11,1
"196",33,10,1
"197",18,11,1
"198",34,10,1
"200",38,11,1
"201",35,11,1
"202",28,11,1
"203",37,11,1
"206",38,36,1
"207",35,35,1
"208",40,36,1
"209",35,34,1
"210",39,34,1
"213",8,6,1
"221",35,10,1
"228",35,10,1
"232",31,31,1
"233",36,32,1
"234",35,32,1
"235",40,35,1
"236",40,33,1
"237",37,29,1
"238",36,36,1
"239",40,32,1
"240",40,35,1
"241",34,33,1
"242",38,34,1
"243",33,33,1
"244",40,36,1
"245",34,34,1
"246",40,35,1
"247",34,34,1
"248",36,33,1
"249",34,29,1
"250",38,31,1
"251",38,29,1
"252",38,29,1
"253",35,29,1
"254",40,31,1
"255",35,27,1
"256",40,32,1
"257",40,31,1
"258",35,28,1
"259",39,24,1
"260",40,24,1
"261",34,24,1
"262",21,18,1
"263",35,18,1
"265",21,17,1
"266",38,17,1
"267",39,16,1
"268",35,15,1
"269",21,14,1
"270",36,11,1
"273",36,11,1
"275",36,11,1
"276",38,11,1
"277",36,11,1
"282",31,11,1
"283",26,11,1
"286",37,11,1
"288",36,11,1
"289",19,12,1
