"","Zi","Yi","Di"
"1",47,36,1
"2",45,38,1
"3",36,32,1
"4",49,34,1
"5",48,42,1
"6",43,43,1
"7",48,39,1
"8",46,35,1
"9",48,44,1
"10",43,40,1
"11",49,35,1
"12",48,34,1
"13",47,39,1
"19",34,7,1
"21",21,7,1
"30",32,7,1
"38",9,5,1
"41",29,7,1
"51",45,44,1
"61",11,5,1
"65",45,45,1
"69",26,11,1
"71",21,5,1
"75",44,31,1
"76",43,31,1
"77",49,32,1
"78",31,30,1
"79",49,32,1
"80",46,32,1
"81",48,34,1
"82",36,32,1
"83",49,33,1
"84",49,37,1
"85",48,33,1
"86",44,34,1
"87",37,35,1
"88",41,33,1
"89",44,32,1
"90",46,38,1
"91",49,31,1
"92",42,31,1
"93",48,30,1
"94",49,27,1
"95",49,28,1
"96",48,28,1
"97",48,27,1
"98",48,29,1
"99",47,27,1
"100",47,31,1
"101",49,31,1
"102",45,30,1
"103",46,30,1
"104",45,39,1
"105",46,25,1
"106",48,26,1
"107",35,26,1
"108",32,26,1
"109",41,26,1
"110",26,26,1
"111",48,32,1
"112",48,32,1
"113",44,24,1
"114",48,21,1
"115",42,24,1
"116",29,25,1
"117",47,21,1
"118",47,20,1
"119",36,22,1
"120",41,20,1
"121",48,22,1
"122",34,21,1
"123",46,21,1
"124",36,21,1
"125",34,22,1
"126",25,21,1
"127",27,21,1
"128",27,22,1
"130",40,19,1
"132",48,21,1
"133",46,21,1
"134",32,18,1
"135",39,17,1
"138",45,18,1
"139",45,19,1
"145",40,16,1
"148",33,15,1
"154",21,15,1
"155",28,15,1
"158",33,15,1
"162",25,13,1
"165",29,14,1
"168",20,15,1
"171",25,13,1
"174",42,15,1
"175",37,12,1
"176",24,12,1
"177",30,13,1
"183",35,12,1
"187",28,10,1
"215",14,7,1
"234",16,7,1
"235",13,7,1
"236",47,45,1
"241",28,5,1
"246",48,44,1
"247",13,9,1
"248",19,7,1
"250",48,42,1
"251",49,41,1
"258",27,4,1
"263",31,5,1
"272",46,43,1
"277",20,8,1
"279",48,39,1
"280",26,8,1
"281",23,5,1
"285",10,4,1
"287",40,37,1
"288",47,36,1
"289",49,44,1
"290",49,37,1
"291",48,35,1
"292",49,45,1
"293",48,34,1
"294",38,34,1
"295",41,39,1
"296",45,35,1
"297",44,43,1
"298",42,33,1
"299",46,45,1
"300",43,41,1
"301",48,36,1
"302",47,40,1
"303",41,36,1
"305",49,44,1
"309",48,39,1
"310",43,38,1
"311",46,36,1
"312",48,29,1
"313",45,29,1
"314",49,36,1
"315",48,35,1
"316",37,33,1
"317",47,40,1
"318",44,35,1
"319",39,39,1
"320",48,41,1
"321",43,32,1
"322",48,34,1
"323",47,34,1
"324",49,37,1
"325",45,34,1
"326",42,36,1
"327",36,31,1
"328",48,37,1
"333",36,27,1
"334",46,36,1
"335",48,37,1
"336",35,29,1
"337",46,36,1
"338",42,33,1
"339",49,34,1
"340",49,35,1
"341",49,35,1
"342",44,33,1
"343",47,33,1
"344",45,32,1
"345",42,37,1
"346",49,36,1
"347",48,37,1
"348",48,36,1
"349",49,37,1
"350",49,37,1
"351",49,29,1
"352",33,29,1
"353",30,29,1
"354",46,29,1
"355",49,44,1
"356",49,31,1
"357",35,29,1
"358",45,27,1
"359",49,31,1
"360",32,26,1
"361",49,26,1
"362",47,28,1
"363",46,26,1
"364",43,26,1
"365",48,38,1
"366",48,37,1
"367",33,32,1
"368",46,31,1
"369",48,30,1
"370",41,30,1
"371",48,27,1
"372",44,23,1
"373",49,24,1
"374",49,26,1
"375",47,22,1
"376",49,23,1
"377",38,20,1
"378",48,25,1
"379",49,24,1
"380",39,21,1
"381",48,22,1
"382",23,22,1
"383",44,20,1
"384",47,20,1
"387",47,20,1
"389",48,21,1
"390",44,20,1
"391",43,19,1
"397",27,17,1
"401",26,19,1
"402",27,17,1
"403",42,17,1
"407",35,16,1
"409",44,17,1
"414",36,17,1
"415",41,15,1
"418",39,16,1
"419",39,14,1
"420",38,14,1
"422",30,15,1
"426",37,13,1
"434",32,12,1
"448",33,10,1
"452",21,8,1
"454",27,9,1
"455",49,41,1
"456",49,38,1
"457",49,39,1
"458",47,39,1
"459",49,36,1
"460",48,43,1
"461",48,35,1
"462",48,42,1
"463",45,34,1
"464",43,33,1
