"","Zi","Yi","Di"
"1",28,5,1
"2",16,4,1
"3",30,27,1
"4",29,27,1
"5",31,26,1
"6",27,27,1
"7",31,27,1
"8",29,27,1
"9",30,23,1
"10",30,24,1
"11",31,24,1
"12",31,24,1
"13",31,23,1
"14",25,24,1
"15",28,25,1
"16",31,24,1
"17",25,21,1
"18",30,22,1
"19",30,22,1
"20",31,21,1
"21",31,21,1
"22",30,22,1
"23",23,22,1
"24",27,21,1
"25",31,23,1
"26",31,22,1
"27",23,23,1
"28",28,19,1
"29",30,20,1
"30",30,20,1
"31",30,18,1
"32",31,18,1
"33",24,17,1
"34",30,19,1
"35",30,18,1
"36",31,18,1
"37",30,18,1
"38",31,16,1
"39",28,21,1
"40",27,17,1
"41",31,17,1
"42",22,18,1
"43",29,16,1
"44",26,16,1
"45",31,16,1
"46",27,15,1
"47",31,16,1
"48",31,16,1
"49",30,15,1
"50",31,16,1
"51",30,16,1
"52",16,16,1
"53",31,16,1
"54",27,12,1
"55",31,16,1
"56",31,16,1
"57",31,16,1
"58",25,7,1
"59",24,9,1
"60",10,5,1
"61",31,4,1
"62",27,5,1
"63",31,4,1
"64",30,27,1
"65",30,26,1
"66",31,26,1
"67",31,27,1
"68",30,27,1
"69",31,24,1
"70",31,24,1
"71",30,25,1
"72",31,25,1
"73",29,26,1
"74",30,22,1
"75",31,24,1
"76",30,24,1
"77",27,23,1
"78",26,22,1
"79",29,22,1
"80",29,22,1
"81",30,22,1
"82",24,22,1
"83",29,22,1
"84",31,21,1
"85",30,20,1
"86",23,21,1
"87",27,20,1
"88",30,21,1
"89",29,22,1
"90",30,20,1
"91",26,20,1
"92",31,21,1
"93",31,19,1
"94",27,18,1
"95",29,19,1
"96",28,19,1
"97",31,19,1
"98",31,19,1
"99",31,18,1
"100",24,18,1
"101",24,18,1
"102",31,17,1
"103",31,21,1
"104",31,19,1
"105",30,17,1
"106",30,22,1
"107",30,21,1
"108",30,16,1
"109",30,17,1
"110",18,17,1
"111",28,16,1
"112",30,17,1
"113",30,16,1
"114",31,18,1
"115",23,18,1
"116",30,15,1
"117",31,15,1
"118",26,15,1
"119",30,15,1
"120",29,16,1
"121",20,12,1
"122",21,14,1
"123",31,13,1
"124",28,14,1
"125",27,12,1
"126",30,12,1
"127",30,14,1
"128",31,10,1
"129",12,10,1
"130",31,6,1
"131",25,4,1
"132",29,4,1
"133",28,4,1
"134",30,11,1
"135",30,7,1
"136",30,5,1
"137",31,27,1
"138",31,26,1
"139",27,27,1
"140",30,27,1
"141",31,25,1
"142",31,27,1
"143",31,26,1
"144",31,25,1
"145",31,26,1
"146",25,25,1
"147",27,25,1
"148",31,25,1
"149",31,25,1
"150",27,25,1
"151",30,22,1
"152",29,23,1
"153",24,24,1
"154",28,23,1
"155",31,23,1
"156",31,24,1
"157",26,20,1
"158",22,21,1
"159",27,22,1
"160",30,21,1
"161",30,23,1
"162",31,24,1
"163",30,23,1
"164",30,20,1
"165",23,19,1
"166",27,20,1
"167",27,20,1
"168",31,20,1
"169",27,21,1
"170",25,19,1
"171",30,24,1
"172",31,13,1
"173",31,17,1
"174",31,17,1
"175",30,23,1
"176",26,18,1
"177",31,16,1
"178",31,16,1
"179",29,16,1
"180",25,16,1
"181",29,16,1
"182",29,16,1
"183",30,16,1
"184",27,15,1
"185",31,16,1
"186",24,15,1
"187",25,14,1
"188",29,13,1
"189",29,15,1
"190",28,15,1
"191",31,9,1
"192",28,9,1
"193",28,12,1
"194",24,5,1
"195",31,7,1
"196",30,7,1
"197",31,5,1
"198",27,8,1
"199",24,9,1
"200",31,28,1
"201",30,28,1
"202",25,23,1
"203",27,23,1
"204",30,23,1
"205",26,24,1
"206",31,24,1
"207",31,25,1
"208",30,25,1
"209",31,25,1
"210",29,24,1
"211",31,24,1
"212",31,25,1
"213",31,26,1
"214",31,25,1
"215",26,26,1
"216",31,26,1
"217",31,27,1
"218",27,22,1
"219",30,23,1
"220",31,23,1
"221",30,21,1
"222",25,21,1
"223",31,22,1
"224",30,21,1
"225",30,22,1
"226",27,18,1
"227",30,19,1
"228",30,19,1
"229",30,20,1
"230",28,20,1
"231",31,21,1
"232",31,20,1
"233",25,21,1
"234",30,20,1
"235",30,21,1
"236",27,17,1
"237",30,18,1
"238",30,16,1
"239",31,19,1
"240",31,17,1
"241",29,15,1
"242",30,16,1
"243",22,15,1
"244",31,17,1
"245",31,16,1
"246",23,16,1
"247",21,15,1
"248",31,15,1
"249",26,15,1
"250",31,16,1
"251",24,16,1
"252",16,15,1
"253",28,14,1
"254",30,14,1
"255",25,16,1
"256",30,14,1
"257",29,11,1
"258",29,11,1
"259",29,9,1
"260",29,9,1
"261",27,10,1
"262",26,6,1
"263",30,6,1
"264",29,4,1
"265",26,6,1
"266",31,27,1
"267",31,27,1
"268",31,27,1
"269",30,27,1
"270",28,27,1
"271",30,25,1
"272",25,25,1
"273",28,25,1
"274",31,25,1
"275",26,26,1
"276",31,23,1
"277",25,23,1
"278",31,23,1
"279",30,22,1
"280",30,22,1
"281",31,24,1
"282",30,23,1
"283",30,24,1
"284",31,25,1
"285",30,23,1
"286",30,21,1
"287",31,22,1
"288",31,22,1
"289",26,21,1
"290",31,22,1
"291",26,19,1
"292",31,20,1
"293",31,20,1
"294",28,20,1
"295",24,20,1
"296",30,21,1
"297",31,21,1
"298",31,18,1
"299",30,18,1
"300",30,18,1
"301",27,19,1
"302",31,17,1
"303",27,17,1
"304",28,17,1
"305",31,18,1
"306",30,17,1
"307",29,17,1
"308",25,17,1
"309",30,18,1
"310",24,16,1
"311",30,15,1
"312",31,16,1
"313",31,16,1
"314",31,16,1
"315",27,16,1
"316",30,16,1
"317",30,16,1
"318",30,17,1
"319",29,15,1
"320",25,14,1
"321",30,15,1
"322",22,11,1
"323",30,10,1
"324",20,9,1
"325",31,9,1
"326",28,7,1
"327",31,5,1
"328",31,4,1
"329",11,6,1
"330",30,7,1
"331",26,5,1
"332",31,27,1
"333",28,27,1
"334",31,25,1
"335",31,24,1
"336",31,25,1
"337",26,26,1
"338",27,26,1
"339",28,26,1
"340",25,21,1
"341",23,23,1
"342",30,24,1
"343",31,24,1
"344",30,24,1
"345",25,25,1
